County,Median_Household_Income,dropoff_count,income_quartile,population,sites_per_100k,rucc_code,metro_nonmetro,rural_urban_class,source,desert_status,verification_status
Iosco,47777,0,Q1_lowest,25054,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Montmorency,47803,0,Q1_lowest,9261,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Gogebic,49672,0,Q1_lowest,14526,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Lake,49680,0,Q1_lowest,11853,0.0,8,Nonmetro,Rural,Battery Network,desert,confirmed desert
Clare,49805,1,Q1_lowest,30608,3.27,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Oscoda,50581,0,Q1_lowest,8241,0.0,9,Nonmetro,Rural,Battery Network,desert,confirmed desert
Ontonagon,51844,0,Q1_lowest,5951,0.0,9,Nonmetro,Rural,Battery Network,desert,confirmed desert
Alpena,51909,1,Q1_lowest,28573,0.0,6,Nonmetro,Suburban/Small City,EGLE/County facility,not desert,confirmed not desert
Ogemaw,51983,1,Q1_lowest,21024,4.76,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Alcona,53568,0,Q1_lowest,10234,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Iron,53614,0,Q1_lowest,11228,0.0,8,Nonmetro,Rural,Battery Network,desert,confirmed desert
Isabella,53759,2,Q1_lowest,70311,2.84,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Keweenaw,53893,0,Q1_lowest,2103,0.0,9,Nonmetro,Rural,Battery Network,desert,confirmed desert
Roscommon,54106,0,Q1_lowest,23766,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Luce,54338,0,Q1_lowest,6230,0.0,9,Nonmetro,Rural,Battery Network,desert,confirmed desert
Delta,54829,1,Q1_lowest,35784,0.0,6,Nonmetro,Suburban/Small City,EGLE/County facility,not desert,confirmed not desert
Baraga,55117,0,Q1_lowest,8209,0.0,8,Nonmetro,Rural,Battery Network,desert,confirmed desert
Gladwin,55576,0,Q1_lowest,25289,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Menominee,55688,1,Q1_lowest,22893,4.37,7,Nonmetro,Rural,Battery Network,not desert,confirmed not desert
Houghton,56573,1,Q1_lowest,35684,2.8,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Presque Isle,56713,0,Q1_lowest,12592,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Huron,56963,0,Q2,30981,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Arenac,56989,1,Q2,14694,0.0,6,Nonmetro,Suburban/Small City,EGLE/County facility,not desert,confirmed not desert
Osceola,57050,0,Q2,23460,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Schoolcraft,57708,0,Q2,7989,0.0,8,Nonmetro,Rural,Battery Network,desert,confirmed desert
Mecosta,57774,2,Q2,43240,0.0,6,Nonmetro,Suburban/Small City,Battery Network + local gov,not desert,confirmed not desert
Saginaw,58347,6,Q2,190539,3.15,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Mackinac,58598,1,Q2,10799,9.26,8,Nonmetro,Rural,Battery Network,not desert,confirmed not desert
Crawford,58614,0,Q2,14030,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Sanilac,59074,3,Q2,41170,0.0,6,Nonmetro,Suburban/Small City,EGLE/County facility,not desert,confirmed not desert
Alger,59406,0,Q2,9069,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Wayne,59521,23,Q2,1734013,1.33,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Kalkaska,60365,0,Q2,18038,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Calhoun,60385,4,Q2,134159,2.98,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Bay,60523,2,Q2,103126,1.94,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Chippewa,60631,0,Q2,37354,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Genesee,60673,7,Q2,405813,1.72,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Hillsdale,60869,0,Q2,45830,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Manistee,60879,0,Q2,24397,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Gratiot,61128,1,Q2,40347,2.48,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Cheboygan,61619,0,Q2,26152,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Missaukee,61868,0,Q2,15453,0.0,7,Nonmetro,Rural,Battery Network,desert,confirmed desert
Dickinson,61882,1,Q3,25554,3.91,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Newaygo,61931,0,Q3,49654,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
Branch,61958,1,Q3,43517,2.3,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Mason,62296,0,Q3,29449,0.0,6,Nonmetro,Suburban/Small City,Battery Network,desert,confirmed desert
Tuscola,62847,1,Q3,52245,1.91,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Wexford,63123,1,Q3,34152,2.93,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Berrien,63152,3,Q3,153696,1.95,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Muskegon,63495,3,Q3,176492,1.7,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Oceana,63624,1,Q3,26467,3.78,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Ingham,64354,5,Q3,292406,1.71,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Shiawassee,64464,1,Q3,68122,1.47,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Marquette,64675,4,Q3,66657,6.0,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
St. Joseph,64707,1,Q3,60964,1.64,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Montcalm,64892,0,Q3,63888,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
Jackson,65004,2,Q3,158510,1.26,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Van Buren,66902,0,Q3,76258,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
Lenawee,67013,2,Q3,98451,2.03,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Otsego,67285,2,Q3,24397,8.2,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Cass,68011,0,Q3,51547,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
St. Clair,69349,4,Q3,159415,2.51,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Kalamazoo,70525,6,Q4_highest,265066,2.26,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Antrim,71421,1,Q4_highest,23624,4.23,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Benzie,72603,1,Q4_highest,17766,0.0,6,Nonmetro,Suburban/Small City,County website,not desert,confirmed not desert
Ionia,73436,1,Q4_highest,64697,1.55,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Emmet,73724,4,Q4_highest,33895,11.8,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Monroe,75272,2,Q4_highest,150500,1.33,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Lapeer,76228,1,Q4_highest,89843,1.11,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Macomb,76399,17,Q4_highest,881217,1.93,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Charlevoix,76495,1,Q4_highest,26856,3.72,6,Nonmetro,Suburban/Small City,Battery Network,not desert,confirmed not desert
Midland,77538,6,Q4_highest,82874,7.24,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Barry,77873,0,Q4_highest,61550,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
Eaton,78025,3,Q4_highest,110268,2.72,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Grand Traverse,79486,10,Q4_highest,97519,10.25,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Allegan,80255,1,Q4_highest,118081,0.85,3,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Kent,80390,16,Q4_highest,667415,2.4,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Clinton,85928,1,Q4_highest,79594,1.26,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Ottawa,87144,10,Q4_highest,305134,3.28,2,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Washtenaw,87156,8,Q4_highest,375329,2.13,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Leelanau,91943,0,Q4_highest,22355,0.0,3,Metro,Urban/Metro,Battery Network,desert,confirmed desert
Oakland,95296,37,Q4_highest,1274395,2.9,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
Livingston,101315,4,Q4_highest,202909,1.97,1,Metro,Urban/Metro,Battery Network,not desert,confirmed not desert
