County,Median_Household_Income,dropoff_count,income_quartile,population,sites_per_100k,rucc_code,metro_nonmetro,rural_urban_class,county,address_count,coverage_pct
Alcona,53568,0,Q1_lowest,10234,0.0,7,Nonmetro,Rural,Alcona,11020,107.7
Oscoda,50581,0,Q1_lowest,8241,0.0,9,Nonmetro,Rural,Oscoda,7210,87.5
Antrim,71421,1,Q4_highest,23624,4.23,6,Nonmetro,Suburban/Small City,Antrim,19467,82.4
Benzie,72603,0,Q4_highest,17766,0.0,6,Nonmetro,Suburban/Small City,Benzie,14198,79.9
Iosco,47777,0,Q1_lowest,25054,0.0,6,Nonmetro,Suburban/Small City,Iosco,19625,78.3
Emmet,73724,4,Q4_highest,33895,11.8,6,Nonmetro,Suburban/Small City,Emmet,23848,70.4
Wayne,59521,23,Q2,1734013,1.33,1,Metro,Urban/Metro,Wayne,1183872,68.3
Arenac,56989,0,Q2,14694,0.0,6,Nonmetro,Suburban/Small City,Arenac,9268,63.1
Huron,56963,0,Q2,30981,0.0,7,Nonmetro,Rural,Huron,19508,63.0
Menominee,55688,1,Q1_lowest,22893,4.37,7,Nonmetro,Rural,Menominee,13978,61.1
Macomb,76399,17,Q4_highest,881217,1.93,1,Metro,Urban/Metro,Macomb,536698,60.9
Ogemaw,51983,1,Q1_lowest,21024,4.76,6,Nonmetro,Suburban/Small City,Ogemaw,12550,59.7
Hillsdale,60869,0,Q2,45830,0.0,6,Nonmetro,Suburban/Small City,Hillsdale,27014,58.9
Mason,62296,0,Q3,29449,0.0,6,Nonmetro,Suburban/Small City,Mason,16928,57.5
Newaygo,61931,0,Q3,49654,0.0,3,Metro,Urban/Metro,Newaygo,27241,54.9
Monroe,75272,2,Q4_highest,150500,1.33,1,Metro,Urban/Metro,Monroe,81030,53.8
Sanilac,59074,0,Q2,41170,0.0,6,Nonmetro,Suburban/Small City,Sanilac,21131,51.3
Branch,61958,1,Q3,43517,2.3,6,Nonmetro,Suburban/Small City,Branch,22085,50.8
Grand Traverse,79486,10,Q4_highest,97519,10.25,3,Metro,Urban/Metro,Grand Traverse,48600,49.8
Barry,77873,0,Q4_highest,61550,0.0,3,Metro,Urban/Metro,Barry,30031,48.8
